index, f_val_x, f_val_y, f_val_x, f_val_y
0,0.37628,0.0,0.37628,-0.601658
1,0.008006999999999998,0.0,0.008006999999999998,-0.037827
2,0.12054000000000001,0.12054,-0.0,-0.0
3,2.5687729999999998,2.568773,-0.0,-0.0
4,5.206567,5.206567,0.0,-0.0
5,2.204313,2.204313,-0.0,-0.0
6,2.417684,2.417684,0.0,-0.0
7,0.788159,0.788159,-0.0,-0.0
8,0.21853699999999998,0.0,0.21853699999999998,-0.247567
9,0.640626,0.640626,0.0,-0.0
10,0.596134,0.0,0.596134,-0.9531950000000001
11,0.164214,0.164214,0.0,-0.0
12,0.295889,0.295889,-0.0,-0.0
13,3.105419,3.105419,-0.0,-0.0
14,3.978733,3.978733,0.0,-0.0
15,3.368669,3.368669,-0.0,-0.0
16,0.860512,0.860512,0.0,-0.0
17,-0.22446999999999998,0.0,-0.22446999999999998,-0.891152
18,1.17472,1.17472,0.0,-0.0
19,0.384969,0.384969,0.0,-0.0
20,0.731488,0.731488,0.0,-0.0
21,0.062578,0.062578,0.0,-0.0
22,0.41658900000000004,0.416589,-0.0,-0.0
23,2.8690279999999997,2.869028,-0.0,-0.0
24,2.949984,2.949984,0.0,-0.0
25,3.668879,3.668879,-0.0,-0.0
26,0.020130000000000002,0.0,0.020130000000000002,-0.067577
27,-0.502899,0.0,-0.502899,-1.9965279999999999
28,0.639759,0.0,0.639759,-0.724745
29,0.38461799999999996,0.384618,0.0,-0.0
30,0.21558200000000002,0.0,0.21558200000000002,-0.344706
31,0.164441,0.164441,0.0,-0.0
32,0.41397,0.41397,-0.0,-0.0
33,2.9923029999999997,2.992303,-0.0,-0.0
34,3.277211,3.277211,0.0,-0.0
35,3.7950809999999997,3.795081,-0.0,-0.0
36,0.192616,0.192616,0.0,-0.0
37,-0.5019939999999999,0.0,-0.5019939999999999,-1.992933
38,0.144735,0.144735,0.0,-0.0
39,0.316195,0.316195,0.0,-0.0
40,1.517858,1.517858,0.0,-0.0
41,0.43689399999999995,0.436894,0.0,-0.0
42,0.430201,0.430201,-0.0,-0.0
43,0.9672069999999999,0.967207,-0.0,-0.0
44,2.4132130000000003,2.4132130000000003,0.0,-0.0
45,3.9554370000000003,3.955437,-0.0,-0.0
46,0.630426,0.0,0.630426,-2.1163
47,-0.41427600000000003,0.0,-0.41427600000000003,-1.644691
48,2.0675830000000004,2.0675830000000004,0.0,-0.0
49,0.37040700000000004,0.370407,0.0,-0.0
50,1.9334040000000001,1.933404,0.0,-0.0
51,0.231541,0.231541,0.0,-0.0
52,0.722194,0.722194,-0.0,-0.0
53,0.323698,0.323698,-0.0,-0.0
54,2.338084,2.338084,0.0,-0.0
55,0.543934,0.543934,-0.0,-0.0
56,0.061177999999999996,0.0,0.061177999999999996,-0.20536999999999997
57,-0.232127,0.0,-0.232127,-0.921552
58,4.945051,0.0,4.945051,-5.601957
59,0.223342,0.223342,0.0,-0.0
60,1.208304,0.0,1.208304,-1.93203
61,0.09562000000000001,0.0,0.09562000000000001,-0.451716
62,0.66479,0.66479,-0.0,-0.0
63,0.680634,0.680634,-0.0,-0.0
